City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
Jamestown,42.097,-79.2353,78.12,81,90,5.99,US,light rain
Rikitea,-23.1203,-134.9692,69.21,54,0,0.89,PF,clear sky
Narsaq,60.9167,-46.05,50.22,84,89,4.76,GL,overcast clouds
Bengkulu,-3.8004,102.2655,75.06,88,9,4.21,ID,clear sky
Santa Cruz,-17.8,-63.1667,89.65,35,20,26.46,BO,few clouds
Mandurah,-32.55,115.7,55.22,69,100,16.53,AU,overcast clouds
Lorengau,-2.0226,147.2712,80.6,76,67,6.67,PG,broken clouds
Bluff,-46.6,168.3333,42.8,72,100,11.79,NZ,light rain
Ossora,59.2353,163.0719,58.15,87,99,5.39,RU,overcast clouds
Tuktoyaktuk,69.4541,-133.0374,60.8,51,40,16.11,CA,scattered clouds
Busselton,-33.65,115.3333,57.09,73,97,15.86,AU,overcast clouds
Tucurui,-3.7661,-49.6725,89.49,39,88,3.33,BR,overcast clouds
Bethel,41.3712,-73.414,85.08,55,40,1.01,US,scattered clouds
Mount Isa,-20.7333,139.5,55.17,38,56,13.8,AU,broken clouds
Arlit,18.7369,7.3853,99.32,27,98,11.41,NE,overcast clouds
Hermanus,-34.4187,19.2345,52.9,57,14,4.81,ZA,few clouds
Lebu,-37.6167,-73.65,52.75,74,98,14.67,CL,overcast clouds
Kapaa,22.0752,-159.319,82.38,85,90,1.99,US,moderate rain
Lodwar,3.1191,35.5973,75.81,63,99,3.44,KE,overcast clouds
Kinablangan,7.6947,126.5503,79.81,70,100,4.88,PH,overcast clouds
Carnarvon,-24.8667,113.6333,59.07,72,100,5.75,AU,overcast clouds
Port Alfred,-33.5906,26.891,54.99,74,0,20.04,ZA,clear sky
Dikson,73.5069,80.5464,37.96,95,100,24.09,RU,overcast clouds
Petropavl,54.8753,69.1628,72.95,58,100,12.8,KZ,overcast clouds
East London,-33.0153,27.9116,55.81,71,0,15.12,ZA,clear sky
Vaini,-21.2,-175.2,75.36,100,20,2.3,TO,few clouds
Atuona,-9.8,-139.0333,78.64,68,50,16.26,PF,scattered clouds
Punta Arenas,-53.15,-70.9167,42.91,70,75,19.57,CL,broken clouds
Lasa,46.6166,10.7002,73.31,92,31,4.27,IT,scattered clouds
Barrow,71.2906,-156.7887,42.82,81,90,4.61,US,light rain
Richards Bay,-28.783,32.0377,55.18,77,19,4.03,ZA,few clouds
Luderitz,-26.6481,15.1594,64.58,30,15,6.49,NA,few clouds
Muroto,33.2833,134.15,77.54,83,100,8.77,JP,overcast clouds
Gondanglegi,-7.7479,112.0132,71.38,88,5,10.11,ID,clear sky
Caravelas,-17.7125,-39.2481,72.81,62,71,10.0,BR,broken clouds
Roebourne,-20.7833,117.1333,70.02,44,100,6.8,AU,overcast clouds
Saint-Philippe,-21.3585,55.7679,67.59,76,65,5.28,RE,broken clouds
New Norfolk,-42.7826,147.0587,45.91,66,91,3.0,AU,overcast clouds
Albany,42.6001,-73.9662,84.02,46,74,1.99,US,broken clouds
Sawakin,19.1059,37.3321,90.21,54,100,4.23,SD,overcast clouds
Mahanoro,-19.9,48.8,67.06,92,100,11.63,MG,moderate rain
Hobart,-42.8794,147.3294,46.26,63,75,3.0,AU,broken clouds
Kaitangata,-46.2817,169.8464,36.16,75,84,4.83,NZ,broken clouds
Velka Bites,49.2884,16.2274,73.27,53,0,9.22,CZ,clear sky
Cape Town,-33.9258,18.4232,53.11,77,8,3.44,ZA,smoke
Port Elizabeth,-33.918,25.5701,55.69,76,40,10.36,ZA,scattered clouds
Mataura,-46.1927,168.8643,42.48,89,100,3.78,NZ,overcast clouds
Adrar,20.5022,-10.0711,94.91,24,60,6.46,MR,broken clouds
Kahului,20.8947,-156.47,83.97,85,40,21.85,US,scattered clouds
Grand Gaube,-20.0064,57.6608,70.2,77,6,1.99,MU,clear sky
Yellowknife,62.456,-114.3525,56.32,54,75,4.0,CA,broken clouds
Iqaluit,63.7506,-68.5145,42.53,87,90,8.05,CA,light rain
Kavaratti,10.5669,72.642,82.22,79,62,18.43,IN,broken clouds
Cap-Aux-Meules,47.3821,-61.8597,62.65,67,20,10.36,CA,few clouds
Georgetown,5.4112,100.3354,84.88,86,20,3.44,MY,few clouds
Chokurdakh,70.6333,147.9167,41.5,75,59,15.55,RU,broken clouds
Challapata,-18.9,-66.7667,52.66,26,0,7.81,BO,clear sky
Butaritari,3.0707,172.7902,83.68,72,100,16.67,KI,overcast clouds
Gat,31.61,34.7642,81.28,100,1,3.24,IL,clear sky
Bozoum,6.3193,16.3799,68.31,95,98,3.98,CF,overcast clouds
Kodiak,57.79,-152.4072,56.71,88,90,4.61,US,overcast clouds
Sapele,5.8941,5.6767,74.26,82,18,3.69,NG,few clouds
Guerrero Negro,27.9769,-114.0611,78.67,59,100,12.5,MX,overcast clouds
Bredasdorp,-34.5322,20.0403,43.92,87,19,2.3,ZA,few clouds
Tasiilaq,65.6145,-37.6368,42.96,98,100,5.08,GL,light rain
Bonthe,7.5264,-12.505,76.3,86,100,7.78,SL,light rain
Pangnirtung,66.1451,-65.7125,49.86,63,100,10.04,CA,overcast clouds
Streator,41.1209,-88.8354,92.23,69,23,3.0,US,few clouds
Urumqi,43.801,87.6005,79.75,28,0,4.47,CN,clear sky
Severo-Kurilsk,50.6789,156.125,55.36,96,48,1.43,RU,scattered clouds
Vulcana Bai,45.0833,25.3833,63.55,74,28,5.19,RO,scattered clouds
Ushuaia,-54.8,-68.3,38.86,87,75,1.14,AR,broken clouds
Eucaliptus,-17.5833,-67.5167,56.66,23,59,10.45,BO,broken clouds
Codrington,-38.2667,141.9667,45.03,68,88,22.97,AU,overcast clouds
Namibe,-15.1961,12.1522,65.75,87,0,4.03,AO,clear sky
Manta,-0.95,-80.7333,76.78,78,90,10.36,EC,overcast clouds
Khatanga,71.9667,102.5,56.7,81,49,11.36,RU,scattered clouds
Talnakh,69.4865,88.3972,48.69,87,100,0.2,RU,moderate rain
Gilgit,35.9221,74.3087,87.75,38,0,0.81,PK,clear sky
Enumclaw,47.2043,-121.9915,83.25,52,0,4.0,US,clear sky
Nanortalik,60.1432,-45.2371,43.5,97,100,12.95,GL,overcast clouds
Srednekolymsk,67.45,153.6833,49.46,65,99,14.88,RU,overcast clouds
Hilo,19.7297,-155.09,81.63,79,20,0.0,US,light rain
Roros,62.5747,11.3842,61.18,57,41,3.51,NO,scattered clouds
Kortkeros,61.8106,51.5806,42.8,85,100,4.59,RU,overcast clouds
Ahuimanu,21.4447,-157.8378,83.91,71,75,12.66,US,light rain
Manzhouli,49.6,117.4333,55.13,95,5,8.3,CN,clear sky
Nikolskoye,59.7035,30.7861,58.89,67,31,3.42,RU,scattered clouds
Naisud,11.8058,122.1939,81.34,80,74,17.78,PH,broken clouds
Divnomorskoye,44.5011,38.1353,72.01,53,0,11.68,RU,clear sky
Togur,58.3631,82.8265,61.99,72,3,3.6,RU,clear sky
New Richmond,45.123,-92.5366,93.78,42,1,12.66,US,clear sky
Kutum,14.2,24.6667,78.67,54,98,5.82,SD,overcast clouds
Faya,18.3851,42.4509,68.11,67,62,3.13,SA,broken clouds
Marsa Matruh,31.3525,27.2453,78.26,63,0,10.56,EG,clear sky
Fare,-16.7,-151.0167,77.45,72,77,11.99,PF,light rain
Ribeira Grande,38.5167,-28.7,73.8,94,75,10.36,PT,broken clouds
Winder,33.9926,-83.7202,94.14,64,1,0.0,US,clear sky
Ilulissat,69.2167,-51.1,44.62,81,75,8.05,GL,mist
Moron,-34.6534,-58.6198,61.02,85,100,5.01,AR,overcast clouds
Caohai,26.8661,104.2841,56.73,95,72,0.63,CN,broken clouds
Katsuura,35.1333,140.3,79.11,85,5,8.41,JP,clear sky
Tokmak,47.2514,35.7058,71.91,52,57,4.32,UA,broken clouds
Airai,-8.9266,125.4092,55.35,40,6,2.93,TL,clear sky
Parana,-31.732,-60.5238,71.29,62,86,7.52,AR,overcast clouds
Knysna,-34.0363,23.0471,46.78,43,36,5.19,ZA,scattered clouds
Longyearbyen,78.2186,15.6401,44.44,81,75,13.8,SJ,broken clouds
Avarua,-21.2078,-159.775,77.05,69,32,10.36,CK,scattered clouds
Lagoa,39.05,-27.9833,71.38,90,85,15.12,PT,overcast clouds
Thompson,55.7435,-97.8558,71.76,56,75,14.97,CA,broken clouds
Puerto Ayora,-0.7393,-90.3518,80.56,82,16,8.99,EC,few clouds
Ulladulla,-35.35,150.4667,50.09,55,59,18.39,AU,broken clouds
Roma,43.2128,-75.4557,83.84,45,1,8.05,US,clear sky
Constitucion,-35.3333,-72.4167,52.34,87,100,12.5,CL,overcast clouds
Salalah,17.0151,54.0924,78.89,94,75,4.61,OM,haze
Sangod,24.9167,76.2833,81.16,84,100,3.87,IN,overcast clouds
Arraial Do Cabo,-22.9661,-42.0278,73.36,68,0,13.8,BR,clear sky
Bhuj,23.2667,69.6667,81.73,83,100,13.56,IN,heavy intensity rain
Ilebo,-4.3167,20.5833,76.23,38,5,1.63,CD,clear sky
Teacapan,22.55,-105.75,82.99,73,100,2.53,MX,overcast clouds
Portland,45.5234,-122.6762,89.51,44,1,4.0,US,clear sky
Guasdualito,7.2424,-70.7324,81.57,83,100,3.87,VE,light rain
Riberalta,-10.9833,-66.1,93.4,40,20,11.5,BO,few clouds
Honiara,-9.4333,159.95,76.86,85,71,5.79,SB,broken clouds
Praya,14.9215,-23.5087,77.54,65,75,9.22,CV,broken clouds
Carutapera,-1.195,-46.02,80.04,83,90,7.0,BR,overcast clouds
Mehamn,71.0357,27.8492,44.47,85,100,24.76,NO,overcast clouds
Maceio,-9.6658,-35.7353,78.24,69,40,12.66,BR,scattered clouds
Fortuna,40.5982,-124.1573,65.32,71,1,12.66,US,clear sky
Luorong,24.4058,109.6086,78.55,84,22,2.59,CN,few clouds
Ponta Do Sol,32.6667,-17.1,74.71,81,0,5.14,PT,clear sky
San Patricio,28.017,-97.5169,96.89,36,0,15.03,US,clear sky
Lwowek Slaski,51.1107,15.5858,71.26,68,11,7.16,PL,few clouds
Luanda,-8.8368,13.2343,70.38,88,0,9.89,AO,clear sky
Darnah,32.767,22.6367,78.55,74,0,17.47,LY,clear sky
Nishihara,26.1842,127.7558,80.26,97,90,17.27,JP,mist
Vao,-22.6667,167.4833,71.46,83,2,6.53,NC,clear sky
Qaanaaq,77.484,-69.3632,41.63,67,100,1.03,GL,overcast clouds
Conceicao Da Barra,-18.5933,-39.7322,71.76,61,50,7.67,BR,scattered clouds
Tura,25.5198,90.2201,74.93,96,93,3.98,IN,overcast clouds
Ulundi,-28.3352,31.4162,44.15,87,3,3.67,ZA,clear sky
San Felipe,10.3399,-68.7425,87.71,55,100,4.32,VE,overcast clouds
Tombouctou,20.0,-3.0,100.15,20,40,5.84,ML,scattered clouds
Grand-Santi,4.25,-54.3833,77.16,96,94,2.82,GF,moderate rain
Hithadhoo,-0.6,73.0833,81.99,78,28,11.86,MV,scattered clouds
Nelson Bay,-32.7167,152.15,56.75,61,46,5.01,AU,scattered clouds
Namatanai,-3.6667,152.4333,78.1,82,19,3.69,PG,few clouds
Amapa,1.0,-52.0,82.22,71,99,1.59,BR,overcast clouds
Nanakuli,21.3906,-158.1547,84.15,69,90,10.36,US,overcast clouds
Jablah,35.3614,35.9256,82.69,74,40,6.91,SY,scattered clouds
Asau,46.4333,26.4,66.76,84,10,3.0,RO,clear sky
Souillac,-20.5167,57.5167,70.18,83,20,9.22,MU,few clouds
Beringovskiy,63.05,179.3167,52.34,88,100,8.57,RU,overcast clouds
Saldanha,-33.0117,17.9442,53.65,66,8,11.43,ZA,clear sky
Peace River,56.2501,-117.286,73.71,40,40,18.41,CA,scattered clouds
Bubaque,11.2833,-15.8333,79.59,77,100,8.12,GW,light rain
Aklavik,68.2191,-135.0107,67.03,94,90,10.36,CA,shower rain
Barra,-11.0894,-43.1417,81.9,44,29,11.34,BR,scattered clouds
West Lafayette,40.4259,-86.9081,89.29,63,90,3.0,US,overcast clouds
Labytnangi,66.6572,66.4183,57.83,66,95,9.37,RU,overcast clouds
Anloga,5.7947,0.8973,76.6,78,35,11.83,GH,scattered clouds
Khandbari,27.3747,87.2039,73.33,96,75,0.81,NP,broken clouds
Makokou,0.5738,12.8642,74.77,74,92,1.68,GA,overcast clouds
Aracaju,-10.9111,-37.0717,76.95,83,75,8.05,BR,broken clouds
Cabo San Lucas,22.8909,-109.9124,96.8,65,1,13.8,MX,clear sky
Prainha,-1.8,-53.48,89.6,45,99,5.17,BR,overcast clouds
Ocean City,39.2776,-74.5746,86.38,52,49,9.78,US,scattered clouds
Torbay,47.6666,-52.7314,68.88,72,75,14.97,CA,broken clouds
Cabinda,-5.55,12.2,72.23,88,2,9.86,AO,clear sky
Takoradi,4.8845,-1.7554,74.89,79,5,6.42,GH,clear sky
Hamois,50.3348,5.1512,61.34,94,76,7.09,BE,broken clouds
Mount Gambier,-37.8333,140.7667,44.15,66,100,14.99,AU,overcast clouds
Shakawe,-18.3667,21.85,57.4,43,0,7.09,BW,clear sky
Finale Ligure,44.1695,8.3436,78.42,79,54,3.0,IT,broken clouds
Boda,4.3189,17.4695,71.2,91,100,4.34,CF,overcast clouds
Birin,26.8865,88.0718,64.35,94,50,3.98,NP,scattered clouds
Fairmont,39.4851,-80.1426,89.76,51,66,1.01,US,broken clouds
Mana,5.6592,-53.7767,80.33,87,100,9.89,GF,moderate rain
Orbetello,42.4408,11.2196,78.8,46,44,10.36,IT,scattered clouds
Dillon,34.4166,-79.3712,91.26,41,2,5.66,US,clear sky
Skjervoy,70.0311,20.9714,47.39,90,100,4.09,NO,moderate rain
Moerai,-22.4333,-151.3333,70.54,62,62,4.9,PF,broken clouds
Sitka,57.0531,-135.33,57.09,82,75,9.22,US,light rain
Opuwo,-18.0607,13.84,59.59,14,0,7.94,NA,clear sky
Kerman,30.2832,57.0788,78.66,17,0,4.61,IR,clear sky
Pesnica Pri Mariboru,46.6069,15.6767,76.91,76,75,4.61,SI,broken clouds
Collie,-33.3667,116.15,54.99,94,69,7.18,AU,broken clouds
Kaeo,-35.1,173.7833,57.33,85,99,11.39,NZ,overcast clouds
Erenhot,43.6475,111.9767,64.63,86,100,23.09,CN,moderate rain
Zharkent,44.1628,80.0,75.34,22,0,2.73,KZ,clear sky
Bambous Virieux,-20.3428,57.7575,70.05,83,20,9.22,MU,few clouds
Baykalsk,51.5058,104.1469,55.81,70,23,6.96,RU,few clouds
Las Cruces,32.3123,-106.7783,90.37,42,1,3.0,US,clear sky
Ahipara,-35.1667,173.1667,55.76,81,100,11.12,NZ,overcast clouds
Sakakah,29.9697,40.2064,90.97,26,0,8.57,SA,clear sky
Clyde River,70.4692,-68.5914,34.03,100,90,16.11,CA,overcast clouds
Khasan,42.4308,130.6434,72.37,96,22,1.36,RU,few clouds
Vanimo,-2.6741,141.3028,74.61,92,100,3.71,PG,moderate rain
Los Llanos De Aridane,28.6585,-17.9182,69.55,93,20,16.11,ES,few clouds
Yashkul,46.1711,45.3435,79.72,33,51,4.79,RU,broken clouds
Caceres,39.522,-6.3748,77.81,31,0,14.27,ES,clear sky
Maamba,-17.3667,27.15,57.85,70,0,3.94,ZM,clear sky
Abong Mbang,3.9833,13.1833,68.47,94,42,3.22,CM,scattered clouds
Chapleau,47.8405,-83.4034,62.69,94,90,8.05,CA,heavy intensity rain
Waipawa,-41.4122,175.5153,46.92,88,3,7.7,NZ,clear sky
Pevek,69.7008,170.3133,36.68,92,100,10.94,RU,overcast clouds
La Ronge,55.1001,-105.2842,71.85,53,75,12.66,CA,broken clouds
Cidreira,-30.1811,-50.2056,63.59,65,0,5.57,BR,clear sky
Palmer,42.1584,-72.3287,85.14,39,40,4.61,US,scattered clouds
Alvares Machado,-22.0794,-51.4719,81.99,18,0,6.91,BR,clear sky
Yulara,-25.2406,130.9889,40.84,65,52,5.75,AU,broken clouds
Dunedin,-45.8742,170.5036,44.8,57,91,10.0,NZ,overcast clouds
Lapy,52.9911,22.8842,68.25,61,98,3.53,PL,overcast clouds
Martigues,43.4,5.05,80.46,67,0,4.61,FR,clear sky
La Carlota,10.4233,122.9208,77.49,88,97,9.19,PH,overcast clouds
Zhicheng,30.2956,111.5047,74.64,90,63,6.02,CN,light rain
Geraldton,-28.7667,114.6,54.01,94,75,9.22,AU,broken clouds
Abu Samrah,35.3029,37.1841,79.65,58,39,11.1,SY,scattered clouds
Westport,41.1415,-73.3579,85.75,52,1,1.99,US,clear sky
Sur,22.5667,59.5289,89.82,60,99,12.57,OM,overcast clouds
Itoman,26.1247,127.6694,80.98,96,75,18.41,JP,mist
Puerto Cabezas,14.0351,-83.3888,89.56,70,40,11.5,NI,scattered clouds
Sao Filipe,14.8961,-24.4956,74.73,74,76,8.9,CV,broken clouds
Olinda,-8.0089,-34.8553,74.93,69,40,13.8,BR,scattered clouds
Porbandar,21.6422,69.6093,81.84,84,100,18.68,IN,overcast clouds
Viet Tri,21.3019,105.4308,82.35,88,83,0.38,VN,broken clouds
Doctor Arroyo,23.6667,-100.1833,81.27,20,5,8.25,MX,clear sky
Saint George,37.1041,-113.5841,99.36,36,1,5.75,US,clear sky
Upington,-28.4478,21.2561,46.78,31,0,4.61,ZA,clear sky
Peniche,39.3558,-9.3811,69.28,85,34,8.93,PT,scattered clouds
Primorka,47.2836,39.0625,77.77,47,9,4.9,RU,clear sky
Iida,35.5197,137.8207,72.03,100,36,2.51,JP,scattered clouds
Tuatapere,-46.1333,167.6833,42.82,81,100,7.23,NZ,light rain
Atasu,48.6814,71.6433,80.53,23,7,8.43,KZ,clear sky
Lusambo,-4.9667,23.45,73.67,39,2,2.28,CD,clear sky
Marawi,7.9986,124.2928,71.65,89,22,6.53,PH,few clouds
Abu Zabad,12.35,29.25,80.08,62,86,3.8,SD,overcast clouds
Borogontsy,62.6683,131.1683,57.79,99,42,3.89,RU,scattered clouds
Novyy Karachay,43.8208,41.9032,61.57,95,67,2.28,RU,broken clouds
Puerto Leguizamo,-0.1934,-74.7819,73.09,96,100,1.03,CO,overcast clouds
Port Hardy,50.6996,-127.4199,60.98,94,75,3.44,CA,fog
Saint Anthony,45.0205,-93.218,92.55,34,1,3.0,US,clear sky
Beroroha,-21.6667,45.1667,63.5,50,4,9.69,MG,clear sky
Sao Miguel,-5.4667,-35.3667,81.37,60,10,19.8,BR,clear sky
Nyagan,62.1406,65.3936,54.54,89,41,7.4,RU,scattered clouds
Hinjilikatu,19.4833,84.75,80.94,76,100,3.56,IN,overcast clouds
Imeni Poliny Osipenko,52.4201,136.4853,69.31,82,99,3.18,RU,overcast clouds
Santos Dumont,-21.4567,-43.5525,68.97,48,0,4.85,BR,clear sky
Tafresh,34.692,50.013,82.36,17,92,8.5,IR,overcast clouds
Rapid Valley,44.0625,-103.1463,92.64,31,1,1.01,US,clear sky
Meulaboh,4.1363,96.1285,76.68,87,100,4.03,ID,overcast clouds
Sovetskiy,61.3614,63.5842,52.2,85,100,8.5,RU,overcast clouds
Kuusamo,65.9667,29.1833,57.24,62,0,5.75,FI,clear sky
Lydenburg,-25.0978,30.4597,38.26,92,0,3.49,ZA,clear sky
Broome,42.2506,-75.833,82.09,58,1,1.01,US,clear sky
Santa Teresa,10.2341,-66.6631,83.32,84,100,1.72,VE,overcast clouds
Saravan,39.7196,45.6483,72.25,80,12,8.95,AM,few clouds
Rawson,-43.3002,-65.1023,50.97,37,99,17.29,AR,overcast clouds
Avera,33.194,-82.5271,91.27,41,0,5.53,US,clear sky
Vestmannaeyjar,63.4427,-20.2734,51.6,84,59,11.79,IS,broken clouds
Pochutla,15.7432,-96.4661,91.22,53,100,6.22,MX,overcast clouds
Baherden,38.4362,57.4316,93.65,23,0,6.91,TM,clear sky
Ambon,-3.6954,128.1814,78.06,83,100,11.18,ID,overcast clouds
Sao Felix Do Xingu,-6.6447,-51.995,94.23,24,52,4.63,BR,broken clouds
Margate,51.3813,1.3862,65.97,85,100,2.33,GB,overcast clouds
Havelock,34.8791,-76.9013,84.97,59,0,4.0,US,clear sky
Pangkalanbuun,-2.6833,111.6167,72.37,96,18,2.28,ID,few clouds
Lagunas,-5.2269,-75.6753,93.13,35,78,0.65,PE,broken clouds
Thai Binh,20.45,106.3333,82.4,91,57,4.21,VN,broken clouds
Arica,-18.475,-70.3042,62.83,72,75,11.5,CL,broken clouds
Huarmey,-10.0681,-78.1522,68.58,71,10,10.25,PE,clear sky
Camacha,33.0833,-16.3333,70.56,73,40,12.66,PT,scattered clouds
Esperance,-33.8667,121.9,52.29,80,1,17.9,AU,clear sky
Shimoda,34.6667,138.95,75.85,85,2,8.55,JP,clear sky
Senneterre,48.3835,-77.2328,73.62,51,100,12.88,CA,overcast clouds
Roslavl,53.9528,32.8639,56.84,74,8,4.45,RU,clear sky
Jiwani,25.05,61.7417,82.42,82,100,4.34,PK,overcast clouds
Poum,-20.2333,164.0167,71.76,82,7,7.31,NC,clear sky
Silopi,37.2497,42.4694,89.26,20,0,2.93,TR,clear sky
Ilhabela,-23.7781,-45.3581,67.37,74,0,2.26,BR,clear sky
Morondava,-20.2833,44.2833,72.54,41,2,19.44,MG,clear sky
Mkushi,-13.6202,29.3939,52.68,79,26,7.07,ZM,scattered clouds
San Cristobal,7.7669,-72.225,80.78,65,100,5.61,VE,overcast clouds
Jos,9.9167,8.9,64.36,95,99,5.7,NG,overcast clouds
Nenjiang,49.1833,125.2167,64.31,98,12,7.63,CN,few clouds
Palimbang,6.2106,124.1894,78.42,87,92,3.96,PH,overcast clouds
Kralendijk,12.15,-68.2667,87.78,66,75,13.8,BQ,broken clouds
Tarakan,3.3,117.6333,79.65,80,100,3.18,ID,overcast clouds
Kruisfontein,-34.0033,24.7314,47.26,48,2,7.54,ZA,clear sky
Minab,27.1467,57.0801,92.7,50,55,2.66,IR,broken clouds
Birao,10.2849,22.7882,79.75,66,100,6.62,CF,overcast clouds
Mackay,-21.15,149.2,61.05,55,0,10.65,AU,clear sky
Luganville,-15.5333,167.1667,77.95,83,63,1.61,VU,broken clouds
Christchurch,-43.5333,172.6333,45.91,87,4,4.0,NZ,clear sky
Zhigansk,66.7697,123.3711,55.78,75,29,14.83,RU,scattered clouds
Toora-Khem,52.4675,96.11,59.59,97,100,0.89,RU,light rain
Plainview,40.7765,-73.4673,85.48,56,1,3.0,US,clear sky
Ferme-Neuve,46.7001,-75.4493,76.78,46,100,11.27,CA,overcast clouds
Marmaris,36.855,28.2742,78.78,64,21,3.65,TR,few clouds
Klaksvik,62.2266,-6.589,50.92,93,84,16.91,FO,broken clouds
Taga,46.95,24.05,64.72,58,88,3.4,RO,overcast clouds
Provideniya,64.3833,-173.3,47.01,98,100,12.17,RU,light rain
Upernavik,72.7868,-56.1549,39.83,85,100,5.5,GL,overcast clouds
Jadu,31.953,12.0261,78.46,34,0,9.42,LY,clear sky
Normandin,48.8333,-72.5321,82.71,39,100,9.22,CA,overcast clouds
Mori,34.8333,137.9333,76.44,88,3,3.42,JP,clear sky
Saskylakh,71.9167,114.0833,57.42,55,100,6.46,RU,overcast clouds
Kommunisticheskiy,61.6789,64.4819,53.44,88,45,8.23,RU,scattered clouds
Guacimo,10.2104,-83.6807,85.01,97,99,2.08,CR,overcast clouds
Laurel,39.0993,-76.8483,86.97,53,75,4.0,US,broken clouds
Andahuaylas,-13.6556,-73.3872,66.27,28,2,9.95,PE,clear sky
Jijiga,9.35,42.8,61.21,77,100,21.74,ET,overcast clouds
Mitsamiouli,-11.3847,43.2844,75.67,73,8,24.29,KM,light rain
Dimona,31.0667,35.0333,69.85,73,0,14.09,IL,clear sky
Bongandanga,1.5,21.05,75.88,61,100,1.79,CD,overcast clouds
Tazovskiy,67.4667,78.7,48.85,87,100,6.96,RU,overcast clouds
Cherskiy,68.75,161.3,46.78,71,92,3.42,RU,overcast clouds
Sire,12.9299,5.2043,82.56,61,75,7.67,NG,broken clouds
Buala,-8.145,159.5921,79.81,84,88,8.79,SB,light rain
Coquimbo,-29.9533,-71.3436,56.93,71,75,5.75,CL,broken clouds
Poya,-21.35,165.15,66.56,88,0,3.76,NC,clear sky
Victoria,22.2855,114.1577,82.38,92,97,5.01,HK,overcast clouds
Sawtell,-30.3833,153.1,59.18,41,0,12.66,AU,clear sky
Anadyr,64.75,177.4833,55.9,100,90,5.99,RU,light rain
Lata,40.1629,-8.3327,64.92,84,30,4.61,PT,scattered clouds
Gizo,-8.103,156.8419,80.94,78,44,4.61,SB,moderate rain
Santa Luzia,-19.7697,-43.8514,75.34,37,0,4.61,BR,clear sky
Akdepe,42.0551,59.3788,84.29,15,2,9.19,TM,clear sky
Norman Wells,65.282,-126.8329,66.24,37,40,16.11,CA,scattered clouds
Panzhihua,26.5851,101.7128,69.19,92,15,1.7,CN,few clouds
Orlik,52.5178,99.825,53.82,90,94,1.36,RU,overcast clouds
Hovd,48.0056,91.6419,65.8,46,31,2.57,MN,scattered clouds
Castro,-24.7911,-50.0119,65.17,59,0,3.62,BR,clear sky
Olafsvik,64.8945,-23.7142,50.47,90,89,12.57,IS,overcast clouds
Kudinovo,54.9994,36.2533,51.85,72,4,2.91,RU,clear sky
Sibolga,1.7427,98.7792,76.87,83,100,2.86,ID,light rain
Kavieng,-2.5744,150.7967,81.7,77,14,10.27,PG,few clouds
Mar Del Plata,-38.0023,-57.5575,51.01,56,75,14.0,AR,broken clouds
Iranshahr,27.2025,60.6848,86.34,58,75,6.91,IR,broken clouds
Vaitape,-16.5167,-151.75,76.23,79,24,13.78,PF,light rain
Oytal,42.9057,73.2697,77.85,27,0,2.48,KZ,clear sky
Grindavik,63.8424,-22.4338,51.75,87,75,16.11,IS,broken clouds
Laizhou,37.1717,119.9214,74.26,83,78,2.3,CN,broken clouds
Nemuro,43.3236,145.575,61.61,98,100,8.5,JP,overcast clouds
Hofn,64.2539,-15.2082,52.54,99,100,17.43,IS,overcast clouds
Sept-Iles,50.2001,-66.3821,66.25,83,75,4.0,CA,broken clouds
Isangel,-19.55,169.2667,75.97,84,7,3.89,VU,clear sky
Bizhbulyak,53.6967,54.2642,59.86,71,62,6.02,RU,broken clouds
Stromness,58.965,-3.296,55.65,90,8,16.91,GB,clear sky
Hami,42.8,93.45,87.03,36,0,6.04,CN,clear sky
Parakai,-36.65,174.4333,57.65,98,26,11.27,NZ,scattered clouds
